,a,[ei],art.一(个)；每一(个)；(同类事物中)任一个
,term,[t?:m],"n.学期;期限,期间;(pl.)条件,条款;术语"
,terminal,['t?:minl],a.末端的；n.终点站，终端
,terminate,['t?:mineit],v.终止，结束
,termination,"[,t?:mi'nei??n]",n.终点
,terminology,"[,t?:mi'n?l?d?i]",n.专用术语；术语学
,terminus,['t?:min?s],n.(火车，汽车)终点站
,termite,['t?:mait],n.白蚁
,terpsichorean,[?t?:psik?'ri:?n],"a.[,t ?:psik ?'ri:?n]舞蹈的"
,terra-cotta,[?ter?'k?t?;'ter?'k?t?],"n.赤土,赤陶,一种带褐色的柑子"
,terrace,['ter?s],n.一层梯田；阳台
,terrain,['terein],n.地势，地形
,terrestrial,[ti'restri?l],a.地球的；陆地的
,terrible,['ter?bl],"a.很糟的;可怕的,骇人的;极度的,厉害的"
,terribly,['ter?bli;'ter?b?li],"ad.可怕地,十分"
,terrific,[t?'rifik],"a.极好的,非常的,极度的"
,terrify,['terifai],"v.使害怕,使惊恐"
,terrifying,[?terifai],a.恐怖的
,territory,['terit?ri],"n.领土;版图;领域,范围"
,terror,['ter?],n.恐怖;可怕的人(事)
,terrorism,['ter??riz?m],n.恐怖主义
,terse,[t?:s],a.简洁的，简明的
,tertian,['t?:??n],a.每三天复发的;隔日的
,tertiary,['t?:??ri],a.第三的
,tessellated,['tesileitid],a.镶嵌花样的
,test,[test],n./vt.试验；检验；测验
,testament,['test?m?nt],n.遗嘱；证明
,testator,[tes'teit?],n.立遗嘱的人
,testify,['testifai],v.见证，证实(尤指出庭)
,testimony,['testim?ni],n.证词，证明
,testiness,['testinis],n.易怒
,testy,['testi],a.性急的，暴躁的
,tetanus,['tet?n?s],n.破伤风
,tether,['te??],v.用绳或链拴住(牲畜)；n.(拴牲畜的)绳或链；(能力等的)限度，范围
,text,[tekst],n.正文，文本；原文；教科书
,textbook,['tekstbuk],"n.课本,教科书"
,textile,"['tekstail, -til]",n.纺织品 a.纺织的
,texture,['tekst??],n.质地；结构
,textured,['tekst??],"a.手摸时有感觉的,有织纹的"
,than,"[??n, 弱??n, ?n]",conj.(用于形容词，副词的比较级之后)比
,thank,[θ??k],vt.感谢int.[-s]谢谢n.[pl.]感谢(意)
,Thanksgiving,,n.感恩节
,that,"[??t, 弱??t, ?t]",a./pron.那，那个 ad.那么 conj.[引导从句]
,thatch,[θ?t?],v.以茅草覆盖；n.茅草屋顶，茅草
,thaw,[θ?:],v.解冻，溶化
,the,,art.这(那)个;这(那)些(指特定的人或物)
,the Bering sea,['b?ri?],n.白令海
,the Cabinet,,n.内阁
,the Federal Reserve,,n.美国联邦储备银行(系美中央银行)
,the Great Lakes,,"n.北美五大湖,在美国与加拿大交界处"
,the Parthenon,['pɑ:θin?n],n.(希腊)巴特农神庙
,the Red Cross,,n.红十字会
,the Warsaw Pact,['w?:s?:],n.华沙条约
,theater,"['θi?t?, 'θi:?-]",n.(theatre)戏院;戏剧;阶梯教室
,theatrical,[θi'?trik?l],a.戏剧的;矫揉造作的(通过加强自我表现或不自然的行为引起注意的)
,theft,[θeft],n.偷窃(行为)，偷窃罪
,their,"[?ε?, 弱??r]",pron..[they的所有格]他(她、它)们的
,theirs,[?ε?z],pron.[they的物主代词]他(她、它)们的
,theist,['θi:ist],n.有神论者
,them,"[?em, 弱??m, ?m]",pron.他们/她们/它们(they的宾格形式)
,thematic,[θi:'m?tik],a.主题的
,theme,[θi:m],n.题目，主题；主旋律，基调
,themselves,"[??m'selvz, ?em-]",pron.他(她、它)们自己；他(她、它)们亲自
,then,[?en],ad.当时，在那时；然后，于是；那么，因而
,theocracy,[θi'?kr?si],n.神权政治
,theoretical,[θi?'retik?l],a.不切实际的；理论(上)的
,theorist,['θi?rist;'θi??rist],n.理论家
,theory,"['θi?ri, 'θi:?-]","n.理论,原理;学说,见解,看法"
,therapeutic,"[,θer?'pju:tik]",a.治病的，治疗的
,therapeutics,,n.治疗学;疗法
,therapy,['θer?pi],n.治疗，(不需要药物或手术的)物理疗法
,there,"[?ε?, 弱??, ?r]","ad.在那儿；往那儿；[作引导词表示""存在""]"
,thereafter,"[,?ε?r'ɑ:ft?, -'?f-]","ad.此后,以后"
,thereby,"[,?ε?'bai, '?ε?bai]","ad.因此,从而"
,therefore,['?ε?f?:],ad.因此，所以 conj.因此
,thermal,['θ?:m?l],a.热的，热量的；温暖的；n.热气流
,thermodynamics,['θ?:m?udai'n?miks],n.热力学
,thermometer,[θ?'m?mit?],n.温度计
,thermos,['θ?:m?s;'θ?:m?s],n.热水瓶
,thermotaxis,[?θ?:m?'t?ksis],n.向热性;体温调节
,thermotherapy,['θ?:m?u'θ??r?pi],n.温热疗法
,these,[?i:z],pron.&a.[this的复数]这些；这些人(东西)
,thesis,['θi:sis],n.论题，论文
,thespian,['θespi?n],a.戏剧的，演戏的
,they,"[?ei, 弱?e]",商店。(一般人经常用复数they来指一家商店)
,thick,[θik],a.厚的，粗的，稠的，浓的  ad.厚，浓，密
,thicket,['θikit],n.树丛，灌木丛
,thief,[θi:f],n.(thieves)贼；小偷
,thigh,[θai],n.大腿；股骨
,thin,[θin],"a.薄的,细的;稀薄的,淡的;瘦的 v.变薄;变稀"
,thing,[θi?],n.物，东西；事，事情；所有物；局面，情况
,think,[θi?k],v.想，思索；认为，以为；想要；料想，预料
,third,[θ?:d],num.第三(个)，三分之一(的)
,thirst,[θ?:st],"n.渴,口渴;(for)渴望,热望"
,thirsty,['θ?:sti],"a.口渴的;(for)渴望的,热望的"
,thirteen,['θ?:'ti:n],num./a.十三 pron.十三(个，只...)
,thirty,['θ?:ti],num.三十，三十个(人或物)
,this,"[?is, 弱??s]",pron.这(个) a.这(个)；今 ad.这(样)
,thorax,['θ?:r?ks;' θ?ur?ks],n.胸;胸廓;胸膛
,thorn,[θ?:n],n.(植物的)刺；荆棘
,thorny,['θ?:ni],"a.多刺的,痛苦的，困难的"
,thorough,"['θ?r?, 'θ?:r?u]","a.彻底的,完全的;精心的"
,thoroughgoing,['θ?r?'g?ui?;'θ?:?u'g?ui?],"a.仔细的,全面的,彻底的"
,those,[??uz],pron./a.[that的复数]那些；那些人(东西)
,though,[??u],ad.可是，然而，不过 conj.尽管，虽然
,thought,[θ?:t],n.思想，思考，思维；意图，打算；想法
,thoughtful,['θ?:tful],"a.认真思考的,沉思的;体贴的,关心的"
,thousand,['θauz?nd],num./n./a.一千；[pl.]许许多多，成千上万
,thousandfold,,a.千倍的
,thrall,['θr?:l],n.奴隶，农奴
,thrash,[θr??],v.鞭打
,thread,[θred],n.螺纹
,threadbare,['θredbe?],a.磨破的；陈腐的
,threadlike,['θred?laik],a.线状的
,threat,[θret],n.威胁，恐吓；凶兆
,threaten,['θret?n],"v.恐吓,威胁;有…危险,快要来临"
,threateningly,,ad.胁迫地
,three,[θri:],num.三 pron./a.三(个，只...)
,three-dimensional,['θri:di'men??n?l],"a.三维的,立体的"
,thresh,[θre?],v.打谷，脱粒
,threshold,['θre?h?uld],"n.门槛;入门,开端"
,thrift,[θrift],a.节约，节俭
,thrifty,['θrifti],a.节省的
,thrill,[θril],n.一阵激动(恐惧) v.激动；(使)毛骨悚然
,thrive,[θraiv],v.茁壮成长，繁荣兴旺
,throat,[θr?ut],"n.咽喉,嗓子"
,throaty,['θr?uti],a.(声音等)喉部发出的;沙哑的
,throb,[θr?b],v./n.跳动;悸动;抽动;颤动
,throes,[θr?uz],n.剧痛
,thrombin,['θr?mbin],n.凝血酶
,thrombosis,[θr?m'b?usis],n.血栓形成
,thrombus,['θr?mb?s],n.血栓
,throne,[θr?un],n.王座，御座；王位
,throng,[θr??],n.一大群；v.拥挤
,throttle,['θr?tl],v.掐脖子；扼杀；n.节流阀
,through,[θru:],prep./ad.穿过；自始至终；由，以 a.直达的
,throughout,[θru:'aut],prep.遍及，贯穿 ad.到处，自始至终，彻底
,throw,[θr?u],vt.扔；使突然陷入；使困惑n.投掷(距离)
,throwback,['θr?ub?k],n.(生)返祖现象
,thrust,[θr?st],v.猛力推；刺，戳
,thumb,[θ?m],n.拇指 v.示意要求搭车；迅速翻阅
,thump,[θ?mp],v.重击，捶击
,thunder,['θ?nd?],"n.雷(声);轰隆声 v.打雷;大声说,吼叫"
,thunderstorm,['θ?nd?st?:m;'θ?nd??st?:m],n.暴风雨
,Thursday,[??s],n.星期四
,thus,[??s],ad.如此；像这样；于是；因此
,thwart,[θw?:t],v.阻挠成事，阻止(计划等)实现
,thymus,['θaim?s],n.胸腺
,thyroid,['θair?id;'θai??id],a.[解]甲状腺的;n.甲状腺
,tick,[tik],n.滴答声;勾号 v.滴答响;打勾号于
,ticket,['tikit],"n.票,入场券;票签;(交通违章)罚款传票"
,tickle,['tikl;'tik?l],v./n.(使)发痒
,tickler,['tikl],n.棘手的问题，难题
,ticklish,['tikli?],a.怕痒的；易怒的
,tide,[taid],"n.潮,潮汐;潮流,趋势"
,tidy,['taidi],a.整齐的，整洁的
,tie,[tai],"n.领带;联系,关系,纽带;束缚 v.扎,系,捆"
,tiff,[tif],n.吵嘴，呕气
,tiger,['taiɡ?],n．虎；老虎
,tight,[tait],"a.紧的;紧身的,装紧的;密封的 ad.紧紧地"
,tight triangle,,n.直角三角形
,tightfisted,['taitfistid],a.吝啬的，极小气的
,tile,[tail],"n.瓦片,瓷砖 vt.铺瓦于，贴砖于"
,till,[til],prep.直到，直到…为止，与until意思相同
,tiller,['til?],n.农夫
,tilt,[tilt],v.(使)倾斜；n.倾斜，斜坡
,timber,['timb?],n.木材；(人)品质
,timbre,['timb?],n.音色，音质
,time,[taim],n.时间，时刻；次，回；时代，时期；倍，乘
,time-consuming,['taimk?n?sju:mi?],a.费时间的
,timeless,['taimlis],a.经久不衰的
,timely,['taimli],a.适时的，及时的
,timeworn,['taimw?:n],a.陈旧的，老朽的
,timid,['timid],a.胆怯的
,timidity,[ti'miditi],n.胆怯
,timorous,['tim?r?s],a.胆小的，胆怯的
,tin,[tin],n.罐头；锡 a.锡制的 vt.镀锡于
,tincture,['ti?kt??],"n.气息,染料,色泽;vt.着色于"
,tinder,['tind?],n.火种，易燃物，引火物
,tine,[tain],"n.(叉﹑耙等的)尖,齿"
,tined,[taind],a.尖的，尖头突出的
,tinge,[tind?],v.染色；使带气息
,tinker,['ti?k?],n.补锅工人；v.拙劣修补
,tinnitus,[ti'nait?s],n.耳鸣
,tinplate,['tinpleit],"n.镀锡铁皮,马口铁"
,tint,[tint],n.淡色；色泽(颜色深淡的程度)；v.给?淡淡地着色
,tiny,['taini],"a.极小的,微小的"
,tip,[tip],n.尖端;末端;小费 n./v.轻击;倾斜;给小费
,tipple,['tipl],v.酗酒；n.烈酒
,tirade,[tai'reid],n.长篇的攻击性讲话
,tire,['tai?],n.轮胎(tyre)；v.疲劳
,tired,,a.疲劳的;厌倦的
,tiresome,['tai?s?m],"a.使人厌倦的,讨厌的"
,tissue,['tisju:],n.细胞组织；薄纸，棉纸
,titanic,[tai't?nik],a.巨人的，力大无比的
,tithe,[tai?],n.什一税(旧时付给圣职人员和教会的农产品);十分之一税
,title,['taitl],"n.书名,标题;头衔,称号"
,titter,['tit?],"n./v.嗤笑,偷笑"
,titular,['titjul?],a.有名无实的，名义上的
,to,"[tu:, 弱 tu]",prep.(表示方向)到；向；(表示间接关系)给.
,toady,['t?udi],n.谄媚者，马屁精
,toast,['t?ust],"n.烤面包,吐司;祝酒(词)v.烘,烤;(向…)祝酒"
,tobacco,[t?'b?k?u],"n.烟草,烟叶"
,today,[t?'dei],ad.在今天；现今，在当代 n.今天；现在
,toddler,['t?dl?],n.蹒跚而行的人;学步小孩
,toe,[t?u],"n.脚趾,足尖"
,toed,[t?ud],a.有趾的
,toga,['t?ug?],"n.托加袍(古罗马男子穿的宽松罩袍),官服"
,together,[t?'ɡe??],"ad.共同,一起;合起来,集拢地"
,toil,[t?il],v./n.长时间辛勤劳作
,toilet,['t?ilit],"n.厕所,盥洗室"
,token,['t?uk?n],n.表示;标志;记号;代用硬币 a.象征性的
,tolerance,['t?l?r?ns],n.容许偏差，公差；容忍，忍受
,tolerant,['t?l?r?nt],"a.容忍的,宽容的；有耐药力的"
,tolerate,['t?l?reit],"vt.容忍,默许；对(药物、毒品等)有耐力"
,toll,[t?ul],n.过路(桥)费；伤亡人数，损失；v.(缓慢而有规律地)敲(尤指丧钟)
,tomato,"[t?'mɑ:t?u, -'mei-]",n.西红柿
,tomb,[tu:m],"n.坟,冢"
,tombstone,['tu:mst?un],n.墓碑，墓石
,tome,[t?um],"n.册,卷,本,大本书"
,tomography,[t?u'm?gr?fi],n.X光线断层照相术
,tomorrow,"[t?'m?r?u, -'m?:-]",n.明天；来日，未来 ad.在明天，在明日
,ton,"[t?n, tu?]","n.吨;(pl.)大量,许多"
,tonality,[t?u'n?liti;t?u'n?l?ti],"n.音质,音调"
,tone,[t?un],"n.音调,音色;风气,气氛;腔调,语气;色调"
,tongs,[t??z],n.夹子，钳子
,tongue,[t??],n.舌;语言
,tonic,['t?nik],n.增进健康之物，补品；a.滋补的
,tonight,[t?'nait],ad.在今晚；在今夜 n.今晚，今夜
,tonsil,['t?nsil;'t?ns?l],n.扁桃体
,tonsillectomy,[?t?nsi'lekt?mi],n.[医]扁桃体切除术
,tonsillitis,[?t?nsi'laitis;?t?ns?l'aitis],n.扁桃体炎
,tonsorial,[t?n's?:ri?l],a.理发师的，理发的
,tonsure,['t?n??],"n.削发,光顶;vt.剃发,为...举行剃发式"
,tony,['t?uni],a.高贵的，豪华的
,too,[tu:],ad.也，还；太，过于；很，非常
,tool,[tu:l],n.工具，用具；方法，手段
,tooth,[tu:θ],n.(pl.teeth)牙齿；齿状物；
,toothpaste,['tu:θpeist;'tu:θ?peist],n.牙膏
,toothsome,['tu:θs?m],"a.可口的,美味的,有吸引力的;性感的"
,top,[t?p],n.顶，顶端；首位；顶点 a.最高的；顶上的
,topic,['t?pik],"n.话题,主题,题目"
,topical,['t?pik?l],"a.有关时事的,当前受到关注的"
,topographical,[?t?p?'gr?fik?l],"a.地形的,地形学的,地形测量的"
,topography,[t?'p?gr?fi],n.地形;地形学
,topple,['t?pl],v.倾覆，推倒
,topsoil,['t?ps?il;'t?p?s?il],n.表层土
,topsy-turvy,"[,t?psi't?:vi]",a.颠倒的，相反的；乱七八糟的
,torch,[t?:t?],"n.手电筒;火炬,火把"
,torment,['t?:ment],n.(肉体或精神上的)折磨，痛苦
,tormina,['t?:min?],n.肠绞痛
,tornado,[t?:'neid?u],n.飓风，龙卷风
,torpedo,[t?:'pi:d?u],n.鱼雷
,torpid,['t?:pid],a.懒散的；迟缓的，迟钝的
,torpor,['t?:p?],n.懒散；迟钝
,torque,[t?:k],n.转(力)矩，扭转力；项圈
,torrent,['t?r?nt],n.洪流，急流
,torrential,[t?'ren??l],a.似急流的，洪流的
,torrential rain,,"n.豪雨,大雨"
,torrid,['t?rid],a.酷热的
,torso,['t?:s?u],n.(人体的)躯干；躯干像
,tortilla,[t?:'ti:?],n.(墨西哥人用以代替面包的)未经发酵的玉米饼
,tortuous,['t?:tju?s],a.弯弯曲曲的
,torture,['t?:t??],n.酷刑，折磨；v.对?施以苦刑
,toss,[t?s],v.(随意或漫无目的地)投，掷；使来回摇动
,total,['t?ut?l],"n.总数,合计 a.总的,全部的 v.合计,总数达"
,totalitarian,"[,t?ut?li'te?ri?n]",a.极权主义的
,totality,[t?u't?liti],n.全体;总数;总额
,totally,['t?ut?li],ad.统统;完全
,totem,['t?ut?m],n.图腾，徽章
,totter,['t?t?],v.摇摇欲坠；步履蹒跚
,touch,[t?t?],"v.触,碰,摸;感动;涉及 n.触动,碰到;少许"
,touchdown,['t?t??daun],"n.着地,降落"
,touched,[t?t?t],a.被感动的
,touching,['t?t?i?],a.引起同情的
,touchstone,['t?t?st?un],n.试金石；检验标准
,touchy,['t?t?i],a.敏感的，易发脾气的
,tough,[t?f],"a.坚韧的,棘手的;强健的,吃苦耐劳的;粗暴的"
,toupee,['tu:pei],n.男用假发
,tour,[tu?],n.旅游，旅行；巡回演出/比赛 v.旅游
,tourist,['tu?rist],n.旅游者，观光客；巡回比赛的运动员
,tournament,['tu?n?m?nt],n.比赛；(旧时)骑士比武大会
,tourniquet,['tu?niket],n.止血带
,tousle,['tauz(?)l],v.弄乱(头发)
,tout,[taut],v.招揽顾客；极力赞扬
,tow,[t?u],"vt.(用绳、链等)拖(车、船等) n.拖,牵引"
,toward,[t?'w?:d],prep.(towards)朝，向；将近；对于；为了
,towel,['tau?l],n.毛巾 vt.用毛巾擦或擦干
,tower,['tau?],n.塔 v.高耸
,towering,['tau?ri?],a.高耸的;杰出的
,town,[taun],n.市镇；市民；城市商业区，闹市区
,toxaemia,[t?ks'i:mi?],n.血毒症
,toxic,['t?ksik],a.有毒的，中毒的
,toxin,['t?ksin],n.毒素，毒质
,toy,[t?i],v.不认真地考虑；漫不经心地玩弄
,trace,[treis],"n.痕迹,踪迹;极少量 v.描绘;跟踪,追踪"
,traceable,['treis?bl],a.可追踪的
,trachea,['treiki?],n.气管
,tracheitis,[?treiki'aitis],n.气管炎
,trachoma,[tr?'k?um?],n.沙眼
,track,[tr?k],n.足迹，踪迹；轨道；小道，小路；v.跟踪
,tract,[tr?kt],n.(政治或宗教内容的)传单；大片土地
,tractability,"[,tr?kt?'biliti]",n.温顺
,tractable,['tr?kt?bl],a.易于驾驭的，温顺的
,traction,['tr?k??n],n.牵引
,tractor,['tr?kt?],"n.拖拉机,牵引车"
,trade,[treid],"n.贸易,商业;职业,行业 v.经商,交易"
,trade off,,v.交替换位;通过交换抛掉
,trademark,['treidmɑ:k],n.商标；特征 vt.注册的…商标
,tradition,[tr?'di??n],n.传统； 惯例； 传说
,traduce,[tr?'dju:s],v.中伤，诽谤
,traffic,['tr?fik],"n.交通,交通量"
,tragedy,['tr?d?idi],n.悲剧，惨事，灾难
,tragic,['tr?d?ik],"a.悲剧的,悲惨的"
,trail,[treil],"n.踪迹,痕迹;小路 v.追踪,跟踪;拖,拖曳;"
,train,[trein],"n.列车;行列,系列,一串 v.训练,培养"
,training,['treini?],"n.训练,培养"
,trainload,['treinl?ud;'trein?l?ud],n.列车载重
,traipse,[treips],v.漫步，闲逛
,trait,[treit],n.人的显著特性
,traitor,['treit?],n.卖国贼，叛徒
,traitorous,['treit?r?s],"a.卖国贼的,叛徒的"
,trajectory,[tr?'d?ek?t?ri],n.(抛射物)弹道轨道
,tram,[tr?m],n.有轨电车
,trammel,['tr?m?l],v./n.束缚，妨碍n.鱼网
,tramp,[tr?mp],v.重步走；长途跋涉
,trample,['tr?mpl],v.踩坏，踏伤
,trance,[trɑ:ns],n.恍惚，出神；昏睡状态
,tranquil,['tr??kwil],"a.宁静的,安静的"
,tranquility,[tr??'kwiliti],n.宁静，安静
,tranquilizer,['tr??kwilaiz?],n.镇静剂;安定药
,transaction,[tr?n'z?k??n],n.办理，交易
,transactions,,"n.会报,学报"
,transatlantic migrate,,n.横越大西洋的移民
,transcend,[tr?n'send],v.超越，胜过
,transcendent,[tr?n'send?nt],a.超越的，卓越的，出众的
,transcendental,"[,tr?nsen'dentl]",a.超越经验的，先验的
,transcontinental,[tr?nzk?nti'nentl;'],"a.横贯大陆的,大陆那边的"
,transcribe,[tr?ns'kraib],v.抄写，转录
,transcript,['tr?nskript;'tr?n ?skript],"n.抄本,撰写;副本;正式文本"
,transect,[tr?n'sekt],v.横切;横断
,transfer,[tr?ns'f?:],v.转移，传递；调任；转让(财产等)
,transfigure,[tr?ns'fiɡ?],v.美化，改观(外表)
,transfix,[tr?ns'fiks],v.戳穿;刺穿;麻木;贯穿术
,transform,"[tr?ns'f?:m, tr?nz-]","vt.改变,变换;变压;转化;改造,改造"
,transformation,[?tr?nsf?'mei??n],"n.变化,转化;改革"
,transfuse,[tr?ns'fju:z],v.输血；充满
,transgress,[tr?ns'ɡres],v.违背(法律或道德的限度)
,transgression,[tr?ns'ɡre??n],n.违法
,transience,['tr?nzi?ns],n.短暂
,transient,['tr?nzi?nt],a.短暂的，转瞬即逝的
,transistor,[tr?n'sist?],n.晶体管；晶体管收音机
,transit,['tr?nsit],"n.通过,经过;通行;运输;运送;转变;过渡"
,transition,[tr?n'zi??n],n.过渡时期，转变
,transitory,['tr?nsit?ri],a.短暂的
,translate,,v.翻译，解释；转化，
,translation,"[tr?ns'lei??n, tr?nz-]","n.翻译;译文,译本"
,translucent,[tr?nz'lju:snt],a.(半)透明的
,transmission,"[tr?nz'mi??n, tr?ns-]","n.播送,发射;传动,传送"
,transmit,[tr?nz'mit],v.传送，传播
,transmitter,[tr?ns'mit?],"n.传送者,发送器"
,transmute,[tr?nz'mju:t],v.变化，变作
,transnational,[tr?ns'n???n?l],"a.跨国的,超越国界的"
,transparent,[tr?ns'pe?r?nt],a.透明的；(性格)直率的
,transpire,[tr?n'spai?],v.(通过皮肤毛孔或植物组织的气孔)散发;公布于众
,transplant,[tr?ns'plɑ:nt],"n./v.移植(植物；组织,器官等)；迁移；"
,transplantation,['tr?nsplɑ:n'tei??n],n.移植
,transport,[tr?ns'p?:t],v.运输；n.狂喜
,transpose,[tr?ns'p?uz],v.互换位置，调换
,transverse,[tr?ns'v?:s],"a.横向的;横切的,横断的"
,trap,[tr?p],n.陷阱，圈套 vt.诱捕；使中圈套 vi.设圈套
,trapeze,[tr?'pi:z],n.(杂技用)空中秋千
,trapezium,[tr?'pi:zi?m],n.梯形
,trapper,['tr?p?],n.设阱捕兽者
,trappings,['tr?pi?z],n.(表示职位的)服饰;(马的)饰物
,trash,[tr??],n.垃圾；拙劣的作品；渣滓，败类
,trauma,['tr?:m?],n.精神创伤;外伤(由暴力或事故造成的严重损伤)
,travail,['tr?veil],"n.艰苦劳动,煎熬,痛苦"
,travel,['tr?v?l],"n.旅行 v.旅行;行进,传播"
,traverse,['tr?v?:s],v.横穿过，横跨
,travesty,['tr?visti],v./n.歪曲拙劣地(的)模仿
,trawl,[tr?:l],"n.拖网,v.用拖网捕鱼；搜罗"
,tray,[trei],"n.盘,碟,托盘"
,treacherous,['tret??r?s],a.背叛的，不忠的；奸诈的
,treachery,['tret??ri],n.阴险；背叛
,tread,[tred],v.踩踏；n.步履；车轮胎面
,treadmill,['tredmil;'tred?mil],"n.踏车,单调的工作"
,treason,['tri:zn],n.叛国罪
,treasure,"['tre??, 'trei-]","n.财宝,财富;珍品 v.珍爱,珍惜"
,treasure trove,['tre??],"n.无主埋藏物,无主珍宝"
,treasurer,['tre??r?],"n.司库,财务员,出纳员"
,treasury,[?tre??ri],"n.宝库,宝藏;国库;国库券"
,treat,[tri:t],"v.对待;治疗;论述;款待,请客 n.款待,请客"
,treatise,['tri:tiz],n.(专题)论文
,treatment,['tri:tm?nt],"n.待遇,对待;处理,治疗"
,treaty,['tri:ti],n.(国与国之间的)条约；(人与人之间的)协议
,tree,[tri:],"n.树,树状物  vi.爬上树"
,trek,[trek],v.艰苦跋涉
,tremble,['trembl],"n.战栗,颤抖 v.发抖,颤抖；摇动；焦虑"
,tremendous,[tri'mend?s],a.惊人的；巨大的；极好的
,tremor,['trem?],n.震动，地震
,tremulous,['tremjul?s],a.颤动的，不安的
,trench,[trent?],n.沟，壕沟
,trenchant,['trent??nt],a.(言论，论据)一针见血的，犀利的
,trend,[trend],v./n.趋势，倾向
,trepidation,"[,trepi'dei??n]",n.恐惧，惶恐
,trespass,['tresp?s],v.侵犯，闯入私人领地
,trespasser,['tresp?s?],n.侵犯(他人土地)者
,tresses,[?tresiz],n.(复数)女人的长发
,trial,['trai?l],n.讯问，审讯；试验；试用；尝试
,triangle,['trai??ɡl],n.三角(形)
,tribal,[traib?l],"a.部落的,宗族的"
,tribe,[traib],n.种族，部落；(植物，动物)族，类
,tribulation,"[,tribju'lei??n]",n.苦难，灾难
,tribunal,[trai'bju:nl],n.法庭，裁判所
,tribune,['tribju:n],n.讲坛;论坛
,tributary,['tribjut?ri],n./a.支流(的)；进贡(的)
,tribute,['tribju:t],n.赞辞；贡物，贡品
,trichotomy,[trai'k?t?mi],"n.三分法(尤指神学中将人性分为肉体,灵魂,精神三部分)"
,trick,[trik],"n.诡计,骗局;恶作剧;窍门 vt.欺骗,哄骗"
,trickery,['trik?ri],n.欺骗，诡计
,trickle,['trikl],v.成小股流动；n.细流
,tricky,['triki],a.狡猾的;复杂的;棘手的
,trident,['traid?nt],n.三叉戟；三叉鱼叉
,trifle,['traifl],n.微不足道的琐事
,trigger,['triɡ?],n.扳机；v.引发，导致
,triglyceride,[trai'glis?raid;trai'glis??raid],n.甘油三酯
,trilogy,['tril?d?i],n.(小说或戏剧)三部曲
,trim,[trim],v.修剪；a.井井有条的
,trimester,[trai'mest?],n.三个月(左右)的时间
,trinket,['tri?kit],n.小装饰品；不值钱的珠宝
,trio,['tri:?u],n.三重奏，三重唱；三人小组
,trip,[trip],"n.旅行,远足 v.绊倒；失足；犯错"
,triple,['tripl],n.三倍数 a.三倍的;三部分构成的v.使成三倍
,tripod,['traip?d],n.画架，三脚架
,triptych,['triptik],n.三联浮雕
,trite,[trait],a.陈腐的，陈词滥调的
,triumph,['trai?mf],v./n.凯旋，胜利，欢欣
,trivia,['trivj?],n.琐事，无价值之物
,trivial,['trivi?l],a.琐细的，不重要的
,troll,[tr?ul],v.钓鱼；兴高采烈地唱
,trolley,['tr?li],"n.手推车;(英)无轨电车,(美)有轨电车"
,troop,[tru:p],"n.(pl.)部队,军队;(一)群/队 v.群集,集合"
,trophy,['tr?ufi],n.奖品，战利品
,tropic,['tr?pik],n.回归线；[the T-s]热带地区
,tropical,['tr?pik?l],a.热带的
,trouble,['tr?bl],n.烦恼;动乱;疾病;故障;辛苦v.(使)烦恼
,troublesome,['tr?bls?m],"a.令人烦恼的,讨厌的"
,troubling,['tr?bli?],"a.令人不安的,令人忧虑的"
,trough,['tr?:f],n.槽;水槽;饲料槽
,trounce,[trauns],v.痛击，彻底地打败
,troupe,[tru:p],n.歌唱团，剧团
,trousers,['trauz?z],n.裤子
,trove,[tr?uv],"n.被发现的东西,收藏的东西"
,trowel,['trau?l],n.泥刀，小铲子
,truancy,['tru:?nsi],n.逃学，旷课
,truant,['tru:?nt],a.逃避责任的；n.逃学者，逃避者
,truce,[tru:s],n.停战，休战(协定)
,truck,[tr?k],"n.卡车,载重汽车"
,truculent,['tr?kjul?nt],a.残暴的，凶狠的
,trudge,[tr?d?],v.跋涉，吃力地走
,true,,a.真实，不假的；忠实，可靠的；正确无误的
,truism,['tru:izm],n.自明之理，真理
,trumpery,['tr?mp?ri],a.中看不中用的
,trumpet,['tr?mpit],n.喇叭，小号
,trumpeter,['tr?mpit?],"n.喇叭手,号兵"
,truncate,['tr??keit],v.把(某物)截短，去尾
,trunk,[tr??k],n.树干；大衣箱
,truss,[tr?s],n.桁架，支架；干草的一捆
,trust,['tr?st],"vt.信任;盼望;委托 n.(in)信任,依赖;委托"
,trustworthy,"['tr?st,w?:?i]",a.值得信赖的，可靠的
,truth,[tru:θ],n.真实，真相；真实性；真理
,try,[trai],v.尝试，试图；试验，试用；审讯 n.尝试
,tryptophan,['tript?f?n;'tript??f?n],n.[生化]色氨酸
,tryst,[trist],n.情人的约会
,tub,[t?b],"n.木盆,澡盆"
,tube,"[tju:b, tu:b]","n.管,软管;电子管,显像管;地铁"
,tuber,['tju:b?],n.(植物)块茎，球根
,tuberculosis,[tju:?b?:kju'l?usis],"n.结核病,肺结核(略作TB)"
,tubular,['tju:bjul?;'tju:bj?l?],"a.管的,由管构成的"
,tuck,[t?k],v.卷起;塞进
,Tuesday,,n.星期二
,tug,[t?ɡ],v.用力拖(或拉)；苦干 n.拖；苦干；拖船
,tugboat,['t?gb?ut;'t?g?b?ut],n.拖船(用作拖动或推动大船的大马力小船)
